#feature	mean	sd
1-U-Glc_AKG12345_m0	0.472103059	0.01
1-U-Glc_AKG12345_m1	0.194577922	0.01
1-U-Glc_AKG12345_m2	0.168364572	0.01
1-U-Glc_AKG12345_m3	0.111325547	0.01
1-U-Glc_AKG12345_m4	0.04004308	0.01
1-U-Glc_AKG12345_m5	0.013585821	0.01
1-U-Glc_Ac12_m0	0.613633757	0.01
1-U-Glc_Ac12_m1	0.178353229	0.01
1-U-Glc_Ac12_m2	0.208013014	0.01
1-U-Glc_Cit123456_m0	0.332822291	0.01
1-U-Glc_Cit123456_m1	0.273747156	0.01
1-U-Glc_Cit123456_m2	0.161236914	0.01
1-U-Glc_Cit123456_m3	0.128409116	0.01
1-U-Glc_Cit123456_m4	0.069389011	0.01
1-U-Glc_Cit123456_m5	0.026435769	0.01
1-U-Glc_Cit123456_m6	0.007959743	0.01
1-U-Glc_DHAP123_m0	0.428017729	0.01
1-U-Glc_DHAP123_m1	0.295907707	0.01
1-U-Glc_DHAP123_m2	0.064036023	0.01
1-U-Glc_DHAP123_m3	0.212038541	0.01
1-U-Glc_E4P1234_m0	0.569665508	0.01
1-U-Glc_E4P1234_m1	0.151552153	0.01
1-U-Glc_E4P1234_m2	0.0379179	0.01
1-U-Glc_E4P1234_m3	0.082106914	0.01
1-U-Glc_E4P1234_m4	0.158757525	0.01
1-U-Glc_F6P123456_m0	0.027691918	0.01
1-U-Glc_F6P123456_m1	0.546875616	0.01
1-U-Glc_F6P123456_m2	0.12735453	0.01
1-U-Glc_F6P123456_m3	0.056897635	0.01
1-U-Glc_F6P123456_m4	0.055766424	0.01
1-U-Glc_F6P123456_m5	0.037400652	0.01
1-U-Glc_F6P123456_m6	0.148013226	0.01
1-U-Glc_FBP123456_m0	0.145009757	0.01
1-U-Glc_FBP123456_m1	0.376809932	0.01
1-U-Glc_FBP123456_m2	0.115498877	0.01
1-U-Glc_FBP123456_m3	0.157269076	0.01
1-U-Glc_FBP123456_m4	0.084257484	0.01
1-U-Glc_FBP123456_m5	0.029251222	0.01
1-U-Glc_FBP123456_m6	0.091903652	0.01
1-U-Glc_Fum1234_m0	0.401281983	0.01
1-U-Glc_Fum1234_m1	0.289228049	0.01
1-U-Glc_Fum1234_m2	0.136135576	0.01
1-U-Glc_Fum1234_m3	0.11592352	0.01
1-U-Glc_Fum1234_m4	0.057430872	0.01
1-U-Glc_G3P123_m0	0.552623923	0.01
1-U-Glc_G3P123_m1	0.183804253	0.01
1-U-Glc_G3P123_m2	0.044152428	0.01
1-U-Glc_G3P123_m3	0.219419396	0.01
1-U-Glc_G6P123456_m0	0.018236805	0.01
1-U-Glc_G6P123456_m1	0.608166348	0.01
1-U-Glc_G6P123456_m2	0.094480494	0.01
1-U-Glc_G6P123456_m3	0.036149379	0.01
1-U-Glc_G6P123456_m4	0.035179342	0.01
1-U-Glc_G6P123456_m5	0.026739523	0.01
1-U-Glc_G6P123456_m6	0.18104811	0.01
1-U-Glc_GAP123_m0	0.556392832	0.01
1-U-Glc_GAP123_m1	0.180266663	0.01
1-U-Glc_GAP123_m2	0.039987681	0.01
1-U-Glc_GAP123_m3	0.223352824	0.01
1-U-Glc_ICit123456_m0	0.28904946	0.01
1-U-Glc_ICit123456_m1	0.301317116	0.01
1-U-Glc_ICit123456_m2	0.173759551	0.01
1-U-Glc_ICit123456_m3	0.13352399	0.01
