	formula	symbol
r1	Mal34_AcCoA12	1.0*v29_b/(1.0*v19 + 1.0*v29_b)
r2	Pyr23_AcCoA12	1.0*v19/(1.0*v19 + 1.0*v29_b)
r3	FBP123_DHAP123	1.0*v3_f/(1.0*v3_f + 1.0*v4_b)
r4	GAP123_DHAP123	1.0*v4_b/(1.0*v3_f + 1.0*v4_b)
r5	F6P3456_E4P1234	1.0*v13_f/(1.0*v13_f + 1.0*v16_f)
r6	S7P4567_E4P1234	1.0*v16_f/(1.0*v13_f + 1.0*v16_f)
r7	FBP123456_F6P123456	1.0*v2_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f + 1.0*v2_b)
r8	G6P123456_F6P123456	1.0*v1_f/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f + 1.0*v2_b)
r9	E4P1234+TK12_F6P123456	1.0*v13_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f + 1.0*v2_b)
r10	GAP123+TA123_F6P123456	1.0*v15_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f + 1.0*v2_b)
r11	F6P123456_FBP123456	1.0*v2_f/(1.0*v2_f + 1.0*v3_b)
r12	DHAP123+GAP123_FBP123456	1.0*v3_b/(1.0*v2_f + 1.0*v3_b)
r13	Mal1234_Fum1234	1.0*v26_b/(1.0*v25_f + 1.0*v26_b)
r14	Suc1234_Fum1234	1.0*v25_f/(1.0*v25_f + 1.0*v26_b)
r15	GAP123_G3P123	1.0*v5_f/(1.0*v5_f + 1.0*v6_b)
r16	PEP123_G3P123	1.0*v6_b/(1.0*v5_f + 1.0*v6_b)
r17	F6P123456_G6P123456	1.0*v1_b/(1.0*v1_b + 1.0*v35)
r18	GlcEX123456_G6P123456	1.0*v35/(1.0*v1_b + 1.0*v35)
r19	ICit12_Glyox12	1.0*v28/(1.0*v28 + 1.0*v29_b)
r20	Mal12_Glyox12	1.0*v29_b/(1.0*v28 + 1.0*v29_b)
r21	Fum1234_Mal1234	1.0*v26_f/(1.0*v26_f + 1.0*v27_b + 1.0*v29_f)
r22	OAA1234_Mal1234	1.0*v27_b/(1.0*v26_f + 1.0*v27_b + 1.0*v29_f)
r23	AcCoA12+Glyox12_Mal1234	1.0*v29_f/(1.0*v26_f + 1.0*v27_b + 1.0*v29_f)
r24	Mal1234_OAA1234	1.0*v27_f/(1.0*v27_f + 1.0*v31)
r25	CD1+Pyr123_OAA1234	1.0*v31/(1.0*v27_f + 1.0*v31)
r26	G3P123_PEP123	1.0*v6_f/(1.0*v30 + 1.0*v6_f)
r27	OAA123_PEP123	1.0*v30/(1.0*v30 + 1.0*v6_f)
r28	G6P123_Pyr123	1.0*v18/(1.0*v18 + 1.0*v7)
r29	PEP123_Pyr123	1.0*v7/(1.0*v18 + 1.0*v7)
r30	Ru5P12345_R5P12345	1.0*v11_f/(1.0*v11_f + 1.0*v14_f)
r31	S7P34567_R5P12345	1.0*v14_f/(1.0*v11_f + 1.0*v14_f)
r32	G6P23456_Ru5P12345	1.0*v9/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r33	R5P12345_Ru5P12345	1.0*v11_b/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r34	X5P12345_Ru5P12345	1.0*v10_b/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r35	E4P1234+TA123_S7P1234567	1.0*v16_b/(1.0*v14_b + 1.0*v16_b)
r36	R5P12345+TK12_S7P1234567	1.0*v14_b/(1.0*v14_b + 1.0*v16_b)
r37	Fum1234_Suc1234	1.0*v25_b/(1.0*v24_f + 1.0*v25_b + 1.0*v28)
r38	ICit3456_Suc1234	1.0*v28/(1.0*v24_f + 1.0*v25_b + 1.0*v28)
r39	SucCoA1234_Suc1234	1.0*v24_f/(1.0*v24_f + 1.0*v25_b + 1.0*v28)
r40	ICit2345_SucCoA1234	1.0*v23/(1.0*v23 + 1.0*v24_b)
r41	Suc1234_SucCoA1234	1.0*v24_b/(1.0*v23 + 1.0*v24_b)
r42	F6P123_TA123	1.0*v15_f/(1.0*v15_f + 1.0*v16_f)
r43	S7P123_TA123	1.0*v16_f/(1.0*v15_f + 1.0*v16_f)
r44	Ru5P12345_X5P12345	1.0*v10_f/(1.0*v10_f + 1.0*v12_b)
r45	GAP123+TK12_X5P12345	1.0*v12_b/(1.0*v10_f + 1.0*v12_b)
