	formula	symbol
r1	OAA34_AcCoA12	1.0*v47/(1.0*v19 + 1.0*v47)
r2	Pyr23_AcCoA12	1.0*v19/(1.0*v19 + 1.0*v47)
r3	ICit123456_Cit123456	1.0*v21_b/(1.0*v20 + 1.0*v21_b + 1.0*v67)
r4	AcCoA12+OAA1234_Cit123456	1.0*v20/(1.0*v20 + 1.0*v21_b + 1.0*v67)
r5	CitEX123456_Cit123456	1.0*v67/(1.0*v20 + 1.0*v21_b + 1.0*v67)
r6	FBP123_DHAP123	1.0*v3_f/(1.0*v33_b + 1.0*v3_f + 1.0*v4_b)
r7	GAP123_DHAP123	1.0*v4_b/(1.0*v33_b + 1.0*v3_f + 1.0*v4_b)
r8	Glyc3P123_DHAP123	1.0*v33_b/(1.0*v33_b + 1.0*v3_f + 1.0*v4_b)
r9	F6P3456_E4P1234	1.0*v13_f/(1.0*v13_f + 1.0*v16_f)
r10	S7P4567_E4P1234	1.0*v16_f/(1.0*v13_f + 1.0*v16_f)
r11	G6P123456_F6P123456	1.0*v1_f/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)
r12	E4P1234+TK12_F6P123456	1.0*v13_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)
r13	GAP123+TA123_F6P123456	1.0*v15_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)
r14	F6P123456_FBP123456	1.0*v2/(1.0*v2 + 1.0*v3_b)
r15	DHAP123+GAP123_FBP123456	1.0*v3_b/(1.0*v2 + 1.0*v3_b)
r16	Mal1234_Fum1234	1.0*v26_b/(1.0*v25 + 1.0*v26_b + 1.0*v40 + 1.0*v59)
r17	OAA1234_Fum1234	(1.0*v40 + 1.0*v59)/(1.0*v25 + 1.0*v26_b + 1.0*v40 + 1.0*v59)
r18	Suc1234_Fum1234	1.0*v25/(1.0*v25 + 1.0*v26_b + 1.0*v40 + 1.0*v59)
r19	GAP123_G3P123	1.0*v5_f/(1.0*v5_f + 1.0*v6_b)
r20	PEP123_G3P123	1.0*v6_b/(1.0*v5_f + 1.0*v6_b)
r21	F6P123456_G6P123456	1.0*v1_b/(1.0*v1_b + 1.0*v66)
r22	GlcEX123456_G6P123456	1.0*v66/(1.0*v1_b + 1.0*v66)
r23	DHAP123_GAP123	1.0*v4_f/(1.0*v12_f + 1.0*v15_f + 1.0*v18 + 1.0*v3_f + 1.0*v4_f + 1.0*v58 + 1.0*v5_b)
r24	F6P456_GAP123	1.0*v15_f/(1.0*v12_f + 1.0*v15_f + 1.0*v18 + 1.0*v3_f + 1.0*v4_f + 1.0*v58 + 1.0*v5_b)
r25	FBP456_GAP123	1.0*v3_f/(1.0*v12_f + 1.0*v15_f + 1.0*v18 + 1.0*v3_f + 1.0*v4_f + 1.0*v58 + 1.0*v5_b)
