	formula	symbol
r1	OAA34_AcCoA12	1.0*v45/(1.0*v19 + 1.0*v45)
r2	Pyr23_AcCoA12	1.0*v19/(1.0*v19 + 1.0*v45)
r3	ICit123456_Cit123456	1.0*v21_b/(1.0*v20 + 1.0*v21_b)
r4	AcCoA12+OAA1234_Cit123456	1.0*v20/(1.0*v20 + 1.0*v21_b)
r5	FBP123_DHAP123	1.0*v3_f/(1.0*v3_f + 1.0*v4_b)
r6	GAP123_DHAP123	1.0*v4_b/(1.0*v3_f + 1.0*v4_b)
r7	F6P3456_E4P1234	1.0*v13_f/(1.0*v13_f + 1.0*v16_f)
r8	S7P4567_E4P1234	1.0*v16_f/(1.0*v13_f + 1.0*v16_f)
r9	G6P123456_F6P123456	1.0*v1_f/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)
r10	E4P1234+TK12_F6P123456	1.0*v13_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)
r11	GAP123+TA123_F6P123456	1.0*v15_b/(1.0*v13_b + 1.0*v15_b + 1.0*v1_f)
r12	F6P123456_FBP123456	1.0*v2/(1.0*v2 + 1.0*v3_b)
r13	DHAP123+GAP123_FBP123456	1.0*v3_b/(1.0*v2 + 1.0*v3_b)
r14	Mal1234_Fum1234	1.0*v26_b/(1.0*v25 + 1.0*v26_b + 1.0*v38 + 1.0*v57)
r15	OAA1234_Fum1234	(1.0*v38 + 1.0*v57)/(1.0*v25 + 1.0*v26_b + 1.0*v38 + 1.0*v57)
r16	Suc1234_Fum1234	1.0*v25/(1.0*v25 + 1.0*v26_b + 1.0*v38 + 1.0*v57)
r17	GAP123_G3P123	1.0*v5_f/(1.0*v5_f + 1.0*v6_b)
r18	PEP123_G3P123	1.0*v6_b/(1.0*v5_f + 1.0*v6_b)
r19	F6P123456_G6P123456	1.0*v1_b/(1.0*v1_b + 1.0*v64)
r20	GlcEX123456_G6P123456	1.0*v64/(1.0*v1_b + 1.0*v64)
r21	Cit123456_ICit123456	1.0*v21_f/(1.0*v21_f + 1.0*v22_b)
r22	AKG12345+CD1_ICit123456	1.0*v22_b/(1.0*v21_f + 1.0*v22_b)
r23	Fum1234_Mal1234	1.0*v26_f/(1.0*v26_f + 1.0*v27_b + 1.0*v29)
r24	OAA1234_Mal1234	1.0*v27_b/(1.0*v26_f + 1.0*v27_b + 1.0*v29)
r25	AcCoA12+ICit12_Mal1234	1.0*v29/(1.0*v26_f + 1.0*v27_b + 1.0*v29)
r26	Mal1234_OAA1234	1.0*v27_f/(1.0*v27_f + 1.0*v32)
r27	CD1+PEP123_OAA1234	1.0*v32/(1.0*v27_f + 1.0*v32)
r28	G3P123_PEP123	1.0*v6_f/(1.0*v33 + 1.0*v6_f)
r29	OAA123_PEP123	1.0*v33/(1.0*v33 + 1.0*v6_f)
r30	Ru5P12345_R5P12345	1.0*v11_f/(1.0*v11_f + 1.0*v14_f)
r31	S7P34567_R5P12345	1.0*v14_f/(1.0*v11_f + 1.0*v14_f)
r32	G6P23456_Ru5P12345	1.0*v9/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r33	R5P12345_Ru5P12345	1.0*v11_b/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r34	X5P12345_Ru5P12345	1.0*v10_b/(1.0*v10_b + 1.0*v11_b + 1.0*v9)
r35	E4P1234+TA123_S7P1234567	1.0*v16_b/(1.0*v14_b + 1.0*v16_b)
r36	R5P12345+TK12_S7P1234567	1.0*v14_b/(1.0*v14_b + 1.0*v16_b)
r37	G3P123_Ser123	1.0*v42/(1.0*v42 + 1.0*v43_b)
r38	Gly12+MEETHF1_Ser123	1.0*v43_b/(1.0*v42 + 1.0*v43_b)
r39	ICit3456_Suc1234	1.0*v28/(1.0*v24_f + 1.0*v28 + 1.0*v47 + 1.0*v50)
r40	SucCoA1234_Suc1234	(1.0*v24_f + 1.0*v47 + 1.0*v50)/(1.0*v24_f + 1.0*v28 + 1.0*v47 + 1.0*v50)
r41	AKG2345_SucCoA1234	1.0*v23/(1.0*v23 + 1.0*v24_b)
r42	Suc1234_SucCoA1234	1.0*v24_b/(1.0*v23 + 1.0*v24_b)
r43	F6P123_TA123	1.0*v15_f/(1.0*v15_f + 1.0*v16_f)
r44	S7P123_TA123	1.0*v16_f/(1.0*v15_f + 1.0*v16_f)
r45	Ru5P12345_X5P12345	1.0*v10_f/(1.0*v10_f + 1.0*v12_b)
r46	GAP123+TK12_X5P12345	1.0*v12_b/(1.0*v10_f + 1.0*v12_b)
